"13g2 -- Employment of students by level of education, field of education, sex and region of residence, 2019-2022"

"Year","Field of education","Area","Employment rate of students, %"
"2022","Generic programmes and qualifications","MK01 Uusimaa",36.4
"2022","Generic programmes and qualifications","MK02 Southwest Finland",33.3
"2022","Generic programmes and qualifications","MK05 Kanta-Häme",36.8
"2022","Generic programmes and qualifications","MK07 Päijät-Häme",32.0
"2022","Generic programmes and qualifications","MK08 Kymenlaakso",27.9
"2022","Generic programmes and qualifications","MK09 South Karelia",24.5
"2022","Generic programmes and qualifications","MK04 Satakunta",34.5
"2022","Generic programmes and qualifications","MK06 Pirkanmaa",33.2
"2022","Generic programmes and qualifications","MK13 Central Finland",28.0
"2022","Generic programmes and qualifications","MK14 South Ostrobothnia",38.3
"2022","Generic programmes and qualifications","MK15 Ostrobothnia",39.6
"2022","Generic programmes and qualifications","MK10 South Savo",30.9
"2022","Generic programmes and qualifications","MK11 North Savo",33.5
"2022","Generic programmes and qualifications","MK12 North Karelia",28.3
"2022","Generic programmes and qualifications","MK16 Central Ostrobothnia",38.1
"2022","Generic programmes and qualifications","MK17 North Ostrobothnia",35.3
"2022","Generic programmes and qualifications","MK18 Kainuu",32.4
"2022","Generic programmes and qualifications","MK19 Lapland",41.5
"2022","Generic programmes and qualifications","MK21 Åland",49.4
"2022","Education","MK01 Uusimaa",68.1
"2022","Education","MK02 Southwest Finland",66.4
"2022","Education","MK05 Kanta-Häme",74.7
"2022","Education","MK07 Päijät-Häme",69.5
"2022","Education","MK08 Kymenlaakso",75.5
"2022","Education","MK09 South Karelia",78.8
"2022","Education","MK04 Satakunta",56.1
"2022","Education","MK06 Pirkanmaa",58.2
"2022","Education","MK13 Central Finland",50.3
"2022","Education","MK14 South Ostrobothnia",62.1
"2022","Education","MK15 Ostrobothnia",70.1
"2022","Education","MK10 South Savo",70.2
"2022","Education","MK11 North Savo",64.1
"2022","Education","MK12 North Karelia",47.3
"2022","Education","MK16 Central Ostrobothnia",67.0
"2022","Education","MK17 North Ostrobothnia",55.0
"2022","Education","MK18 Kainuu",73.0
"2022","Education","MK19 Lapland",61.2
"2022","Education","MK21 Åland",83.9
"2022","Arts and humanities","MK01 Uusimaa",54.1
"2022","Arts and humanities","MK02 Southwest Finland",46.5
"2022","Arts and humanities","MK05 Kanta-Häme",47.1
"2022","Arts and humanities","MK07 Päijät-Häme",38.5
"2022","Arts and humanities","MK08 Kymenlaakso",30.8
"2022","Arts and humanities","MK09 South Karelia",42.5
"2022","Arts and humanities","MK04 Satakunta",42.2
"2022","Arts and humanities","MK06 Pirkanmaa",44.7
"2022","Arts and humanities","MK13 Central Finland",40.7
"2022","Arts and humanities","MK14 South Ostrobothnia",47.1
"2022","Arts and humanities","MK15 Ostrobothnia",50.7
"2022","Arts and humanities","MK10 South Savo",51.0
"2022","Arts and humanities","MK11 North Savo",41.0
"2022","Arts and humanities","MK12 North Karelia",32.0
"2022","Arts and humanities","MK16 Central Ostrobothnia",44.7
"2022","Arts and humanities","MK17 North Ostrobothnia",41.5
"2022","Arts and humanities","MK18 Kainuu",37.4
"2022","Arts and humanities","MK19 Lapland",43.4
"2022","Arts and humanities","MK21 Åland",44.4
"2022","Social sciences, journalism and information","MK01 Uusimaa",66.7
"2022","Social sciences, journalism and information","MK02 Southwest Finland",54.6
"2022","Social sciences, journalism and information","MK05 Kanta-Häme",79.0
"2022","Social sciences, journalism and information","MK07 Päijät-Häme",71.6
"2022","Social sciences, journalism and information","MK08 Kymenlaakso",76.5
"2022","Social sciences, journalism and information","MK09 South Karelia",70.4
"2022","Social sciences, journalism and information","MK04 Satakunta",79.4
"2022","Social sciences, journalism and information","MK06 Pirkanmaa",55.7
"2022","Social sciences, journalism and information","MK13 Central Finland",45.6
"2022","Social sciences, journalism and information","MK14 South Ostrobothnia",56.9
"2022","Social sciences, journalism and information","MK15 Ostrobothnia",59.0
"2022","Social sciences, journalism and information","MK10 South Savo",78.0
"2022","Social sciences, journalism and information","MK11 North Savo",60.0
"2022","Social sciences, journalism and information","MK12 North Karelia",44.0
